epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.59375,,,
0,99,,,,0.578125,,,
0,149,,,,0.623046875,,,
0,199,,,,0.591796875,,,
0,249,,,,0.61328125,,,
0,293,,,,,,0.6486601829528809,0.8626367449760437
0,293,,,0.6244137287139893,,0.9318451881408691,,
1,299,,,,0.634765625,,,
1,349,,,,0.646484375,,,
1,399,,,,0.646484375,,,
1,449,,,,0.685546875,,,
1,499,,,,0.65625,,,
1,549,,,,0.705078125,,,
1,587,,,,,,0.6545410752296448,0.8411365151405334
1,587,,,0.6630920171737671,,0.8289989829063416,,
2,599,,,,0.701171875,,,
2,649,,,,0.662109375,,,
2,699,,,,0.64453125,,,
2,749,,,,0.705078125,,,
2,799,,,,0.67578125,,,
2,849,,,,0.650390625,,,
2,881,,,,,,0.6594640612602234,0.8349134922027588
2,881,,,0.6716405749320984,,0.8042058348655701,,
3,899,,,,0.673828125,,,
3,949,,,,0.673828125,,,
3,999,,,,0.662109375,,,
3,1049,,,,0.712890625,,,
3,1099,,,,0.703125,,,
3,1149,,,,0.65234375,,,
3,1175,,,,,,0.6591713428497314,0.8332418203353882
3,1175,,,0.6767830848693848,,0.7900505065917969,,
4,1199,,,,0.67578125,,,
4,1249,,,,0.705078125,,,
4,1299,,,,0.642578125,,,
4,1349,,,,0.654296875,,,
4,1399,,,,0.6796875,,,
4,1449,,,,0.67578125,,,
4,1469,,,,,,0.6597301959991455,0.8359927535057068
4,1469,,,0.6805484294891357,,0.7794545292854309,,
5,1470,0.6633102893829346,0.8367856740951538,,,,,
