epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.642578125,,,
0,99,,,,0.583984375,,,
0,149,,,,0.607421875,,,
0,199,,,,0.65625,,,
0,249,,,,0.60546875,,,
0,293,,,,,,0.6008949279785156,0.9820110201835632
0,293,,,0.5933879613876343,,1.100531816482544,,
1,299,,,,0.6015625,,,
1,349,,,,0.634765625,,,
1,399,,,,0.681640625,,,
1,449,,,,0.646484375,,,
1,499,,,,0.619140625,,,
1,549,,,,0.6640625,,,
1,587,,,,,,0.6455092430114746,0.8896086812019348
1,587,,,0.6273871064186096,,0.9176167845726013,,
2,599,,,,0.5859375,,,
2,649,,,,0.65625,,,
2,699,,,,0.623046875,,,
2,749,,,,0.705078125,,,
2,799,,,,0.64453125,,,
2,849,,,,0.671875,,,
2,881,,,,,,0.6585606336593628,0.8391556739807129
2,881,,,0.6566187143325806,,0.8373205661773682,,
3,899,,,,0.67578125,,,
3,949,,,,0.658203125,,,
3,999,,,,0.6640625,,,
3,1049,,,,0.66015625,,,
3,1099,,,,0.619140625,,,
3,1149,,,,0.68359375,,,
3,1175,,,,,,0.670253574848175,0.797734260559082
3,1175,,,0.6720601916313171,,0.7945563197135925,,
4,1199,,,,0.662109375,,,
4,1249,,,,0.7109375,,,
4,1299,,,,0.685546875,,,
4,1349,,,,0.640625,,,
4,1399,,,,0.669921875,,,
4,1449,,,,0.697265625,,,
4,1469,,,,,,0.6754474639892578,0.7906759977340698
4,1469,,,0.681329071521759,,0.7680603861808777,,
5,1470,0.6730306148529053,0.7961464524269104,,,,,
5,1470,0.6730306148529053,0.7961464524269104,,,,,
