epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.69921875,,,
0,99,,,,0.744140625,,,
0,149,,,,0.703125,,,
0,199,,,,0.70703125,,,
0,249,,,,0.728515625,,,
0,293,,,,,,0.6473029851913452,0.9170951843261719
0,293,,,0.7225397229194641,,0.6816908717155457,,
1,299,,,,0.7109375,,,
1,349,,,,0.720703125,,,
1,399,,,,0.736328125,,,
1,449,,,,0.708984375,,,
1,499,,,,0.75,,,
1,549,,,,0.705078125,,,
1,587,,,,,,0.6447483897209167,0.9265715479850769
1,587,,,0.7245953679084778,,0.6775836944580078,,
2,599,,,,0.748046875,,,
2,649,,,,0.71484375,,,
2,699,,,,0.74609375,,,
2,749,,,,0.7265625,,,
2,799,,,,0.70703125,,,
2,849,,,,0.72265625,,,
2,881,,,,,,0.6480215191841125,0.9309591054916382
2,881,,,0.7259525060653687,,0.6733447313308716,,
3,899,,,,0.705078125,,,
3,949,,,,0.75390625,,,
3,999,,,,0.734375,,,
3,1049,,,,0.728515625,,,
3,1099,,,,0.728515625,,,
3,1149,,,,0.673828125,,,
3,1175,,,,,,0.6479150652885437,0.9406992793083191
3,1175,,,0.7283873558044434,,0.669206976890564,,
4,1199,,,,0.697265625,,,
4,1249,,,,0.748046875,,,
4,1299,,,,0.732421875,,,
4,1349,,,,0.75,,,
4,1399,,,,0.716796875,,,
4,1449,,,,0.705078125,,,
4,1469,,,,,,0.6442161798477173,0.9492510557174683
4,1469,,,0.729964017868042,,0.6651068329811096,,
5,1499,,,,0.7265625,,,
5,1549,,,,0.7734375,,,
5,1599,,,,0.748046875,,,
5,1649,,,,0.7578125,,,
5,1699,,,,0.734375,,,
5,1749,,,,0.75390625,,,
5,1763,,,,,,0.6477553844451904,0.953909158706665
5,1763,,,0.7322059273719788,,0.6609929800033569,,
6,1799,,,,0.744140625,,,
6,1849,,,,0.712890625,,,
6,1899,,,,0.73046875,,,
6,1949,,,,0.7265625,,,
6,1999,,,,0.7734375,,,
6,2049,,,,0.7578125,,,
6,2057,,,,,,0.6433380246162415,0.9654764533042908
6,2057,,,0.7339755296707153,,0.6568403244018555,,
7,2099,,,,0.751953125,,,
7,2149,,,,0.724609375,,,
7,2199,,,,0.75390625,,,
7,2249,,,,0.6875,,,
7,2299,,,,0.705078125,,,
7,2349,,,,0.748046875,,,
7,2351,,,,,,0.6458128094673157,0.9719172716140747
7,2351,,,0.7363438606262207,,0.6529266834259033,,
8,2399,,,,0.77734375,,,
8,2449,,,,0.76171875,,,
8,2499,,,,0.74609375,,,
8,2549,,,,0.6796875,,,
8,2599,,,,0.744140625,,,
8,2645,,,,,,0.6456265449523926,0.9819584488868713
8,2645,,,0.737654447555542,,0.6487687230110168,,
9,2649,,,,0.734375,,,
9,2699,,,,0.75390625,,,
9,2749,,,,0.705078125,,,
9,2799,,,,0.697265625,,,
9,2849,,,,0.724609375,,,
9,2899,,,,0.732421875,,,
9,2939,,,,,,0.6478884220123291,0.9892840385437012
9,2939,,,0.7399695515632629,,0.6447352170944214,,
10,2949,,,,0.759765625,,,
10,2999,,,,0.744140625,,,
10,3049,,,,0.728515625,,,
10,3099,,,,0.7109375,,,
10,3149,,,,0.775390625,,,
10,3199,,,,0.7265625,,,
10,3233,,,,,,0.645972490310669,0.9975545406341553
10,3233,,,0.7418122887611389,,0.6408740878105164,,
11,3249,,,,0.76171875,,,
11,3299,,,,0.755859375,,,
11,3349,,,,0.74609375,,,
11,3399,,,,0.75,,,
11,3449,,,,0.7578125,,,
11,3499,,,,0.75,,,
11,3527,,,,,,0.6454668641090393,1.0056370496749878
11,3527,,,0.7434554696083069,,0.6365718245506287,,
12,3549,,,,0.7890625,,,
12,3599,,,,0.7734375,,,
12,3649,,,,0.744140625,,,
12,3699,,,,0.7578125,,,
12,3749,,,,0.765625,,,
12,3799,,,,0.748046875,,,
12,3821,,,,,,0.6442959904670715,1.0156700611114502
12,3821,,,0.7444267868995667,,0.6327225565910339,,
13,3849,,,,0.7578125,,,
13,3899,,,,0.75390625,,,
