epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.58984375,,,
0,99,,,,0.60546875,,,
0,149,,,,0.607421875,,,
0,199,,,,0.615234375,,,
0,249,,,,0.6171875,,,
0,293,,,,,,0.6216705441474915,0.9101899862289429
0,293,,,0.6002530455589294,,1.0604337453842163,,
1,299,,,,0.62890625,,,
1,349,,,,0.689453125,,,
1,399,,,,0.609375,,,
1,449,,,,0.609375,,,
1,499,,,,0.666015625,,,
1,549,,,,0.623046875,,,
1,587,,,,,,0.6379714608192444,0.8734409809112549
1,587,,,0.6361566185951233,,0.8741477727890015,,
2,599,,,,0.66015625,,,
2,649,,,,0.673828125,,,
2,699,,,,0.6640625,,,
2,749,,,,0.634765625,,,
2,799,,,,0.662109375,,,
2,849,,,,0.673828125,,,
2,881,,,,,,0.632617712020874,0.8667205572128296
2,881,,,0.6586829423904419,,0.818333089351654,,
3,899,,,,0.654296875,,,
3,949,,,,0.66015625,,,
3,999,,,,0.6875,,,
3,1049,,,,0.67578125,,,
3,1099,,,,0.703125,,,
3,1149,,,,0.6796875,,,
3,1175,,,,,,0.6626092195510864,0.8146981596946716
3,1175,,,0.6748368740081787,,0.7818170189857483,,
4,1199,,,,0.701171875,,,
4,1249,,,,0.69140625,,,
4,1299,,,,0.68359375,,,
4,1349,,,,0.6796875,,,
4,1399,,,,0.673828125,,,
4,1449,,,,0.669921875,,,
4,1469,,,,,,0.6646867394447327,0.8132981061935425
4,1469,,,0.6847915649414062,,0.7552528977394104,,
5,1499,,,,0.673828125,,,
5,1549,,,,0.689453125,,,
5,1599,,,,0.6796875,,,
5,1649,,,,0.720703125,,,
5,1699,,,,0.681640625,,,
5,1749,,,,0.671875,,,
5,1763,,,,,,0.6677231788635254,0.7995844483375549
5,1763,,,0.6954055428504944,,0.7341195344924927,,
6,1799,,,,0.689453125,,,
6,1849,,,,0.703125,,,
6,1899,,,,0.716796875,,,
6,1949,,,,0.703125,,,
6,1999,,,,0.69140625,,,
6,2049,,,,0.708984375,,,
6,2057,,,,,,0.6686554551124573,0.8003420233726501
6,2057,,,0.7019776105880737,,0.7148770093917847,,
7,2099,,,,0.73046875,,,
7,2149,,,,0.708984375,,,
7,2199,,,,0.701171875,,,
7,2249,,,,0.7421875,,,
7,2299,,,,0.6953125,,,
7,2349,,,,0.673828125,,,
7,2351,,,,,,0.6726773977279663,0.794840395450592
7,2351,,,0.7095019221305847,,0.6978548169136047,,
8,2399,,,,0.662109375,,,
8,2449,,,,0.701171875,,,
8,2499,,,,0.6875,,,
8,2549,,,,0.734375,,,
8,2599,,,,0.73046875,,,
8,2645,,,,,,0.6696942448616028,0.7997736930847168
8,2645,,,0.7168864011764526,,0.6828840970993042,,
9,2649,,,,0.728515625,,,
9,2699,,,,0.701171875,,,
9,2749,,,,0.724609375,,,
9,2799,,,,0.69921875,,,
9,2849,,,,0.685546875,,,
9,2899,,,,0.71484375,,,
9,2939,,,,,,0.6666844487190247,0.8062871098518372
9,2939,,,0.722939133644104,,0.6677126884460449,,
10,2940,0.6619718074798584,0.8170508742332458,,,,,
10,2940,0.6619718074798584,0.8170508742332458,,,,,
10,2940,0.6761415600776672,0.8810408711433411,,,,,
10,2940,0.6619718074798584,0.8170508742332458,,,,,
