epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,0.6953125,,,
0,99,,0.666015625,,,
0,149,,0.681640625,,,
0,199,,0.6953125,,,
0,249,,0.669921875,,,
0,293,,,,0.6602386236190796,0.8083802461624146
0,293,0.6889598965644836,,0.7486897110939026,,
1,299,,0.6875,,,
1,349,,0.6875,,,
1,399,,0.666015625,,,
1,449,,0.69140625,,,
1,499,,0.681640625,,,
1,549,,0.70703125,,,
1,587,,,,0.6792563199996948,0.7926268577575684
1,587,0.6965175271034241,,0.7316311001777649,,
2,599,,0.73046875,,,
2,649,,0.681640625,,,
2,699,,0.716796875,,,
2,749,,0.662109375,,,
2,799,,0.740234375,,,
2,849,,0.693359375,,,
2,881,,,,0.6811474561691284,0.7877200245857239
2,881,0.7018710970878601,,0.7168299555778503,,
3,899,,0.693359375,,,
3,949,,0.712890625,,,
3,999,,0.720703125,,,
3,1049,,0.744140625,,,
3,1099,,0.724609375,,,
3,1149,,0.734375,,,
3,1175,,,,0.6753143072128296,0.7907304167747498
3,1175,0.7078239321708679,,0.7025566101074219,,
4,1199,,0.712890625,,,
4,1249,,0.708984375,,,
4,1299,,0.669921875,,,
4,1349,,0.703125,,,
4,1399,,0.68359375,,,
4,1449,,0.69140625,,,
4,1469,,,,0.6769923567771912,0.7826472520828247
4,1469,0.7139898538589478,,0.6884442567825317,,
5,1499,,0.70703125,,,
5,1549,,0.716796875,,,
5,1599,,0.69140625,,,
