epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.53125,,,
0,99,,,,0.59375,,,
0,149,,,,0.625,,,
0,199,,,,0.53125,,,
0,249,,,,0.78125,,,
0,299,,,,0.65625,,,
0,349,,,,0.6875,,,
0,399,,,,0.46875,,,
0,449,,,,0.5625,,,
0,499,,,,0.375,,,
0,549,,,,0.5625,,,
0,599,,,,0.65625,,,
0,649,,,,0.59375,,,
0,699,,,,0.6875,,,
0,749,,,,0.4375,,,
0,799,,,,0.625,,,
0,849,,,,0.59375,,,
0,899,,,,0.5625,,,
0,949,,,,0.6875,,,
0,999,,,,0.84375,,,
0,1049,,,,0.59375,,,
0,1099,,,,0.46875,,,
0,1149,,,,0.65625,,,
0,1199,,,,0.625,,,
0,1249,,,,0.6875,,,
0,1299,,,,0.59375,,,
0,1349,,,,0.71875,,,
0,1399,,,,0.59375,,,
0,1449,,,,0.4375,,,
0,1499,,,,0.59375,,,
0,1549,,,,0.625,,,
0,1599,,,,0.5625,,,
0,1649,,,,0.65625,,,
0,1699,,,,0.65625,,,
0,1749,,,,0.65625,,,
0,1799,,,,0.59375,,,
0,1849,,,,0.5,,,
0,1899,,,,0.65625,,,
0,1949,,,,0.53125,,,
0,1999,,,,0.5625,,,
0,2049,,,,0.65625,,,
0,2099,,,,0.65625,,,
0,2149,,,,0.59375,,,
0,2199,,,,0.8125,,,
0,2249,,,,0.5625,,,
0,2299,,,,0.625,,,
0,2349,,,,0.625,,,
0,2399,,,,0.75,,,
0,2449,,,,0.65625,,,
0,2499,,,,0.4375,,,
0,2549,,,,0.8125,,,
0,2599,,,,0.65625,,,
0,2649,,,,0.53125,,,
0,2699,,,,0.46875,,,
0,2749,,,,0.59375,,,
0,2799,,,,0.65625,,,
0,2849,,,,0.5625,,,
0,2899,,,,0.6875,,,
0,2949,,,,0.65625,,,
0,2999,,,,0.59375,,,
0,3049,,,,0.6875,,,
0,3099,,,,0.5625,,,
0,3149,,,,0.6875,,,
0,3199,,,,0.6875,,,
0,3249,,,,0.5625,,,
0,3299,,,,0.625,,,
0,3349,,,,0.75,,,
0,3399,,,,0.6875,,,
0,3449,,,,0.625,,,
0,3499,,,,0.6875,,,
0,3549,,,,0.53125,,,
0,3599,,,,0.5625,,,
0,3649,,,,0.71875,,,
0,3699,,,,0.59375,,,
0,3749,,,,0.65625,,,
0,3799,,,,0.5625,,,
0,3849,,,,0.625,,,
0,3899,,,,0.6875,,,
0,3949,,,,0.6875,,,
0,3999,,,,0.59375,,,
0,4049,,,,0.5625,,,
0,4099,,,,0.53125,,,
0,4149,,,,0.6875,,,
0,4199,,,,0.71875,,,
0,4249,,,,0.625,,,
0,4299,,,,0.59375,,,
0,4349,,,,0.59375,,,
0,4399,,,,0.53125,,,
0,4449,,,,0.6875,,,
0,4499,,,,0.71875,,,
0,4549,,,,0.625,,,
0,4599,,,,0.84375,,,
0,4649,,,,0.5625,,,
0,4693,,,,,,0.663727879524231,0.8125527501106262
0,4693,,,0.6298841238021851,,0.9301669001579285,,
1,4699,,,,0.78125,,,
1,4749,,,,0.8125,,,
1,4799,,,,0.59375,,,
1,4849,,,,0.59375,,,
1,4899,,,,0.75,,,
1,4949,,,,0.625,,,
1,4999,,,,0.75,,,
1,5049,,,,0.6875,,,
1,5099,,,,0.375,,,
1,5149,,,,0.75,,,
1,5199,,,,0.6875,,,
1,5249,,,,0.59375,,,
1,5299,,,,0.71875,,,
1,5349,,,,0.71875,,,
1,5399,,,,0.65625,,,
1,5449,,,,0.59375,,,
1,5499,,,,0.78125,,,
1,5549,,,,0.71875,,,
1,5599,,,,0.8125,,,
1,5649,,,,0.6875,,,
1,5699,,,,0.84375,,,
1,5749,,,,0.6875,,,
1,5799,,,,0.6875,,,
1,5849,,,,0.59375,,,
1,5899,,,,0.6875,,,
1,5949,,,,0.5,,,
1,5999,,,,0.625,,,
1,6049,,,,0.59375,,,
1,6099,,,,0.71875,,,
1,6149,,,,0.875,,,
1,6199,,,,0.75,,,
1,6249,,,,0.65625,,,
1,6299,,,,0.71875,,,
1,6349,,,,0.6875,,,
1,6399,,,,0.625,,,
1,6449,,,,0.625,,,
1,6499,,,,0.78125,,,
1,6549,,,,0.6875,,,
1,6599,,,,0.5,,,
1,6649,,,,0.5625,,,
1,6699,,,,0.53125,,,
1,6749,,,,0.6875,,,
1,6799,,,,0.8125,,,
1,6849,,,,0.65625,,,
1,6899,,,,0.875,,,
1,6949,,,,0.71875,,,
1,6999,,,,0.78125,,,
1,7049,,,,0.625,,,
1,7099,,,,0.625,,,
1,7149,,,,0.84375,,,
1,7199,,,,0.625,,,
1,7249,,,,0.71875,,,
1,7299,,,,0.65625,,,
1,7349,,,,0.4375,,,
1,7399,,,,0.53125,,,
1,7449,,,,0.625,,,
1,7499,,,,0.5,,,
1,7549,,,,0.78125,,,
1,7599,,,,0.78125,,,
1,7649,,,,0.71875,,,
1,7699,,,,0.71875,,,
1,7749,,,,0.59375,,,
1,7799,,,,0.65625,,,
1,7849,,,,0.6875,,,
1,7899,,,,0.5,,,
1,7949,,,,0.71875,,,
1,7999,,,,0.65625,,,
1,8049,,,,0.78125,,,
1,8099,,,,0.625,,,
1,8149,,,,0.65625,,,
1,8199,,,,0.71875,,,
1,8249,,,,0.84375,,,
1,8299,,,,0.75,,,
1,8349,,,,0.625,,,
1,8399,,,,0.65625,,,
1,8449,,,,0.65625,,,
1,8499,,,,0.625,,,
1,8549,,,,0.5,,,
1,8599,,,,0.5625,,,
1,8649,,,,0.6875,,,
1,8699,,,,0.46875,,,
1,8749,,,,0.625,,,
1,8799,,,,0.625,,,
1,8849,,,,0.75,,,
1,8899,,,,0.625,,,
1,8949,,,,0.71875,,,
1,8999,,,,0.875,,,
