epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,0.548828125,,,
0,99,,0.60546875,,,
0,149,,0.60546875,,,
0,199,,0.58984375,,,
0,249,,0.623046875,,,
0,293,,,,0.5960739254951477,1.0205060243606567
0,293,0.5945199131965637,,1.1236443519592285,,
1,299,,0.626953125,,,
1,349,,0.609375,,,
1,399,,0.64453125,,,
1,449,,0.61328125,,,
1,499,,0.623046875,,,
1,549,,0.68359375,,,
1,587,,,,0.6300607323646545,0.8795415759086609
1,587,0.6220801472663879,,0.9211937189102173,,
2,599,,0.6640625,,,
2,649,,0.6484375,,,
2,699,,0.587890625,,,
2,749,,0.638671875,,,
2,799,,0.640625,,,
