epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.7109375,,,
0,99,,,,0.708984375,,,
0,149,,,,0.720703125,,,
0,199,,,,0.67578125,,,
0,249,,,,0.69921875,,,
0,293,,,,,,0.6493786573410034,0.8857130408287048
0,293,,,0.7127936482429504,,0.7045113444328308,,
1,299,,,,0.736328125,,,
1,349,,,,0.689453125,,,
1,399,,,,0.724609375,,,
1,449,,,,0.685546875,,,
1,499,,,,0.69921875,,,
1,549,,,,0.72265625,,,
1,587,,,,,,0.6480215191841125,0.8912339210510254
1,587,,,0.7148027420043945,,0.6994977593421936,,
2,599,,,,0.67578125,,,
2,649,,,,0.6953125,,,
2,699,,,,0.72265625,,,
2,749,,,,0.732421875,,,
2,799,,,,0.720703125,,,
2,849,,,,0.728515625,,,
2,881,,,,,,0.6524122357368469,0.9011499881744385
2,881,,,0.7171511054039001,,0.6948643326759338,,
3,899,,,,0.720703125,,,
3,949,,,,0.71875,,,
3,999,,,,0.685546875,,,
3,1049,,,,0.681640625,,,
3,1099,,,,0.708984375,,,
3,1149,,,,0.708984375,,,
3,1175,,,,,,0.644429087638855,0.9068236947059631
3,1175,,,0.7195127606391907,,0.6905263662338257,,
4,1199,,,,0.728515625,,,
4,1249,,,,0.7265625,,,
4,1299,,,,0.703125,,,
4,1349,,,,0.7578125,,,
4,1399,,,,0.703125,,,
4,1449,,,,0.716796875,,,
4,1469,,,,,,0.6518002152442932,0.9117128849029541
4,1469,,,0.7207235097885132,,0.6861046552658081,,
5,1470,0.6522618532180786,0.9181087017059326,,,,,
