epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.619140625,,,
0,99,,,,0.634765625,,,
0,149,,,,0.630859375,,,
0,199,,,,0.66015625,,,
0,249,,,,0.69921875,,,
0,293,,,,,,0.6680161952972412,0.8017392158508301
0,293,,,0.6419563293457031,,0.8874788880348206,,
1,299,,,,0.703125,,,
1,349,,,,0.66015625,,,
1,399,,,,0.666015625,,,
1,449,,,,0.67578125,,,
1,499,,,,0.708984375,,,
1,549,,,,0.701171875,,,
1,587,,,,,,0.6766460537910461,0.7762695550918579
1,587,,,0.6782727241516113,,0.7784171104431152,,
2,599,,,,0.677734375,,,
2,649,,,,0.677734375,,,
2,699,,,,0.662109375,,,
2,749,,,,0.708984375,,,
2,799,,,,0.6796875,,,
2,849,,,,0.693359375,,,
2,881,,,,,,0.6796292066574097,0.7700148224830627
2,881,,,0.6901451349258423,,0.7453149557113647,,
3,899,,,,0.681640625,,,
3,949,,,,0.701171875,,,
3,999,,,,0.720703125,,,
3,1049,,,,0.67578125,,,
3,1099,,,,0.705078125,,,
3,1149,,,,0.75390625,,,
3,1175,,,,,,0.6801353096961975,0.7662255764007568
3,1175,,,0.6994540095329285,,0.720845639705658,,
4,1199,,,,0.724609375,,,
4,1249,,,,0.71484375,,,
4,1299,,,,0.7265625,,,
4,1349,,,,0.7109375,,,
4,1399,,,,0.7109375,,,
4,1449,,,,0.720703125,,,
4,1469,,,,,,0.6813605427742004,0.7637917399406433
4,1469,,,0.7079570889472961,,0.6993600726127625,,
5,1499,,,,0.712890625,,,
5,1549,,,,0.759765625,,,
5,1599,,,,0.716796875,,,
5,1649,,,,0.671875,,,
5,1699,,,,0.73046875,,,
5,1749,,,,0.69140625,,,
5,1763,,,,,,0.6817067861557007,0.7686222195625305
5,1763,,,0.7164868712425232,,0.6783983707427979,,
6,1799,,,,0.7421875,,,
6,1849,,,,0.748046875,,,
6,1899,,,,0.740234375,,,
6,1949,,,,0.703125,,,
6,1999,,,,0.7421875,,,
6,2049,,,,0.748046875,,,
6,2057,,,,,,0.6815469861030579,0.782993495464325
6,2057,,,0.7250632643699646,,0.6570528149604797,,
7,2099,,,,0.7265625,,,
7,2149,,,,0.73046875,,,
7,2199,,,,0.712890625,,,
7,2249,,,,0.751953125,,,
7,2299,,,,0.712890625,,,
7,2349,,,,0.72265625,,,
7,2351,,,,,,0.6759535670280457,0.7962266206741333
7,2351,,,0.7346650958061218,,0.6357866525650024,,
8,2399,,,,0.705078125,,,
8,2449,,,,0.748046875,,,
8,2499,,,,0.732421875,,,
8,2549,,,,0.763671875,,,
8,2599,,,,0.755859375,,,
8,2645,,,,,,0.6813605427742004,0.8075017929077148
8,2645,,,0.7439139485359192,,0.6136577129364014,,
9,2649,,,,0.759765625,,,
9,2699,,,,0.765625,,,
9,2749,,,,0.763671875,,,
9,2799,,,,0.73046875,,,
9,2849,,,,0.75390625,,,
9,2899,,,,0.763671875,,,
9,2939,,,,,,0.6768857836723328,0.8728501200675964
9,2939,,,0.7548275589942932,,0.5918403267860413,,
10,2940,0.6761415600776672,0.8810408711433411,,,,,
